id,name_program,university_id,field,level,language,duration,tuition_per_year,application_fee,admission_requirements
61,MSc in Game Development,11,Computer Science,Master,English,2,31000,90,"Bachelor's in CS or related, Programming portfolio, Game design experience"
62,Bachelor of Linguistics,9,Linguistics,Bachelor,French,3,1200,60,"High school diploma, Language aptitude, French B2"
63,Master of Supply Chain Management,10,Supply Chain Management,Master,English,1,15500,75,"Bachelor's degree, Business background, Quantitative skills"
64,MSc in Chemical Engineering,7,Chemical Engineering,Master,English,2,34000,90,"Bachelor's in Chemical Engineering or Chemistry, Mathematics background"
65,PhD in Artificial Intelligence,12,Computer Science,PhD,English/Japanese,5,8000,0,"Master's in CS or AI, Research proposal, Programming skills"
66,Master of Social Work,13,Social Work,Master,English,2,0,75,"Bachelor's degree, Social work experience, Statement of purpose"
67,Bachelor of Civil Engineering,1,Civil Engineering,Bachelor,English,4,46000,75,"High school diploma, Strong mathematics and physics, Spatial reasoning"
68,MSc in Psychology,2,Psychology,Master,English,2,55000,100,"Bachelor's in Psychology, Research experience, Statement of purpose"
69,Master of Mechanical Engineering,3,Mechanical Engineering,Master,English/German,2,1500,50,"Bachelor's in Mechanical Engineering, CAD skills, Mathematics"
70,Bachelor of Arts in History,8,History,Bachelor,English,3,31000,90,"High school diploma, Writing sample, Personal statement"
71,Master of Health Informatics,4,Health Informatics,Master,English,2,0,50,"Bachelor's degree, Healthcare or IT background, Statement of purpose"
72,PhD in Environmental Engineering,11,Environmental Engineering,PhD,English,4,30000,90,"Master's in Engineering, Research proposal, Environmental studies background"
73,MSc in Business Analytics,10,Business Analytics,Master,English,1,15000,75,"Bachelor's degree, Quantitative skills, Programming knowledge"
74,Bachelor of Software Engineering,6,Software Engineering,Bachelor,English,4,29000,90,"High school diploma, Programming aptitude, Mathematics"
75,Master of TESOL,9,Education,Master,French/English,2,2000,60,"Bachelor's degree, Language teaching experience, French B1/English C1"
76,MSc in Bioinformatics,7,Bioinformatics,Master,English,2,35000,100,"Bachelor's in Biology or CS, Programming skills, Biology knowledge"
77,PhD in Finance,2,Finance,PhD,English,5,0,100,"Master's in Finance or Economics, Research proposal, Quantitative skills"
78,Bachelor of Nutrition,12,Nutrition,Bachelor,English/Japanese,4,10000,90,"High school diploma, Biology and chemistry background, Personal statement"
79,MSc in Electrical Engineering,13,Electrical Engineering,Master,English,2,0,75,"Bachelor's in Electrical Engineering, Circuit design knowledge"
80,Master of Information Systems,1,Information Systems,Master,English,2,51000,75,"Bachelor's in IS, CS, or Business, IT background, GMAT/GRE"
81,Bachelor of Marine Biology,5,Marine Biology,Bachelor,English,4,27000,110,"High school diploma, Strong science background, Interest in marine life"
82,MSc in Construction Management,3,Construction Management,Master,English/German,2,1500,50,"Bachelor's in Civil Engineering or Construction, Work experience preferred"
83,Master of Interior Architecture,4,Architecture,Master,English/German,2,0,50,"Bachelor's in Architecture or Design, Portfolio, Statement of purpose"
84,PhD in Information Science,6,Information Science,PhD,English,4,26000,100,"Master's degree, Research proposal, Publication record"
85,MSc in Telecommunications,11,Telecommunications Engineering,Master,English,2,32000,90,"Bachelor's in Electrical Engineering or Telecommunications, Signal processing"
86,Bachelor of Media Studies,9,Media Studies,Bachelor,French,3,1500,60,"High school diploma, Media portfolio, French B2"
87,Master of Sports Management,10,Sports Management,Master,English,1,14500,75,"Bachelor's degree, Sports background, Management skills"
88,MSc in Food Science,7,Food Science,Master,English,2,33000,90,"Bachelor's in Food Science or related field, Lab experience"
89,PhD in Public Health,12,Public Health,PhD,English,5,7500,0,"Master's in Public Health, Research proposal, Field experience"
90,Master of Agricultural Science,13,Agricultural Science,Master,English,2,0,75,"Bachelor's in Agriculture or Biology, Research interests"
91,Bachelor of Animation,1,Animation,Bachelor,English,4,49000,75,"High school diploma, Art portfolio, Animation samples"
92,MSc in Nuclear Engineering,2,Nuclear Engineering,Master,English,2,60000,100,"Bachelor's in Engineering, Physics background, Safety awareness"
93,Master of Urban Informatics,3,Urban Studies,Master,English,2,1500,50,"Bachelor's degree, Data analysis skills, Urban planning interest"
94,Bachelor of Dental Science,8,Dentistry,Bachelor,English,5,45000,150,"High school diploma, Chemistry and biology prerequisites, Manual dexterity"
95,Master of Educational Technology,4,Education Technology,Master,English/German,2,0,50,"Bachelor's degree, Teaching experience, Technology skills"
96,PhD in Linguistics,11,Linguistics,PhD,English,4,30000,90,"Master's in Linguistics, Research proposal, Proficiency in multiple languages"
97,MSc in Project Management,10,Project Management,Master,English,1,15500,75,"Bachelor's degree, Professional experience preferred, Management aptitude"
98,Bachelor of Game Design,6,Game Design,Bachelor,English,3,32000,90,"High school diploma, Creative portfolio, Game concept demonstration"
99,Master of Translation Studies,9,Translation Studies,Master,French/English,2,2200,60,"Bachelor's degree, Bilingual proficiency, Translation sample"
100,MSc in Nanoscience,7,Nanoscience,Master,English,2,37000,100,"Bachelor's in Physics, Chemistry or Materials Science, Lab experience"
